game	year	problem_type	problem_from_postmortem	antipattern	sw_antipattern	author
Descent 3	1999	communication	Another major problem on Descent 3 was the tools the level designers used to make their levels. Some people used 3D Studio Max, some used Lightwave, and one designer even wrote his own custom modeler from scratch. Due to our somewhat anarchistic development environment, this was seen as O.K., and not too many people complained. However, the different tools led to inconsistent quality across our game levels.	(3D modeling tools were not standardized)	none	none
Heavy Metal: F.A.K.K. 2	2000	team	At the beginning of this article, I mentioned that the team started off with 18 members, and we finished the game with 11. Of those 11 people, only one person was on the original F.A.K.K. 2 team from the beginning. It was a weird project, because most of the team didnt have a handle on the design of the game. The key designers of gameplay had moved on, and werent available to talk about the ideas that they had come up with. We ended up scrapping a lot of the original design document and starting over. This set us back pretty far in the gameplay area. Another area that suffered was models and animations. We lost several artists who worked on different animation packages, and when they left we had to redo the models they were responsible for.	(3D modeling tools were not standardized)	none	none
Swords & Soldiers	2010	team	The levels took a lot of time to build with the limited tools we had. With only one programmer, you cant ask for a good level design tool. For design, then, we had to use the stock Windows text editor, Notepad. We used it for almost everything -- editing the levels, writing a script for the game. Adding all of this text to a huge text file and testing all the different versions in all languages took quite some time -- especially since every change required the level to be restarted. But we had three designers and five artists vs. one programmer, so we put up with Notepad. There was one exception: AI. Our AI routines were built in a simple logic tree editor, which was built by a programming intern. And though the editor was a bit buggy, it was still a major improvement over editing those XML files in Notepad. In hindsight, we probably should have put some time in coding creating a visual level editor. In about two weeks, we couldve created an editor which, while it wouldnt have been too user friendly, would still have been a massive improvement over Notepad. This, in turn, wouldve allowed us to tweak the whole game that much better, and also would have saved the rest of the team a lot of time.	(absent/inadequate tools: AI and level design were slowed down)	none	none
Star Wars Rogue Leader Rogue Squadron II	2002	planning	As we did in our earlier titles, we wanted to avoid using FMV for cutscenes, to avoid breaking the continuity and style of the game. The playback of these animations was handled quite elegantly by our standard run-time animation system, which we used for all types of animation throughout the game. The internal structure of this system closely resembles Mayas animation system, which made it very flexible and straightforward to control from within that tool. It also was really easy to use at run time. This is where the fun ended, however, and things started to get ugly. On the programming side, we had to spend a lot of time organizing the data flow. We wanted to make the amount of data to be loaded or kept in memory for cutscenes minimal, which meant recycling data that was present in the level data currently loaded. This sounds easier - and we fell for it, too - as it is actually was. However, our main problem was that we werent able to begin implementation of the cutscene playback until pretty late into the project, and the programmers responsible for the task were confronted with a data structure that was pretty much set in stone. This is the one area in which our planning at the beginning of the project did not quite work out.	(absent/inadequate tools: animation middleware was hard to use and had technical limitations)	none	none
Monsters (Probably) Stole My Princess	2011	delays	Its unavoidable really, but we ran into delays for launching on both PSN and Indie Games due to issues at the platform holder end. In PSNs case, Sony updated the PSP emulator, which actually contained a bug that led to us failing submission. We had to re-submit and this incurred a significant delay. With the 360s Indie Games, we had to approve via the XNA community, which was reliant on enough members going through the process. This took a lot longer than standard, internal approvals.	(absent/inadequate tools: buggy middleware)	none	none
Project Gotham Racing 3	2005	communication	Pickford and Wilson stressed the importance of keeping open the lines of communication, both with other developers and the console manufacturer. For the latter, its essential you make SDK bug reports as quickly as possible, due to the irregularity of SDK updates. Dont expect the bug to be reported and fixed by someone else, or you could find the SDK two-months down the road still possesses it. For the former, when you hit a wall, a trip to one of the developer forums can reveal that someone else has already ran face first into that bricky surface and already found a way to chip through. In particular, the developers stressed that having the game running ahead of time, even on the Alpha kits or PCs, and having a modular development system to allow turning off whole sections when SDK fixes cause it to stop working.	(absent/inadequate tools: buggy SDK)	none	none
Vanishing Point	2015	communication	If any of these parameters are not met, that asset must be sent back to whoever built it. With different individuals working at each step of this process, it could take a while for art assets to be ready for integration in the game.	(absent/inadequate tools: creating a usable asset depended on the definition of several parameters in modeling tools)	none	none
Crazy Taxi Fare Wars	2007	delays	But as they say, hindsight is 20/20. The net result was a hit to our schedule and a small adjustment to our budget. In the future we will handle this differently, by purchasing longer licenses for software development packages as well as increasing the amount of time to properly evaluate any codebase we use.	(absent/inadequate tools: devs did not properly purchase licenses for the tools they needed) 	none	none
Vanishing Point	2015	delays	This slowed development greatly, and entire weeks were spent bumbling around the engine trying to figure out how to make the game with these tools. That delayed that early, exploratory development phase where you are figuring out how to bring out the fun in what you have, prototyping new mechanics and discovering what works lasted all the way to the end of the first semester.	(absent/inadequate tools: devs had to learn how to reach the result they wanted with the engine at hand)	none	none
Jak and Daxter	2001	team	While its true that GOAL gave us many advantages, GOAL caused us a lot of grief. A single programmer (who could easily be one of the top ten Lisp programmers in the world) wrote GOAL. While he called his Lisp techniques and programming practices revolutionary, others referred to them as code encryption, since only he could understand them. Because of this, all of the support, bug fixes, feature enhancements, and optimizations had to come from one person, creating quite a bottleneck. Also, it took over a year to develop the compiler, during which time the other programmers had to make do with missing features, odd quirks, and numerous bugs. Eventually GOAL became much more robust, but even now C++ has some advantages over GOAL, such as destructors, better constructors, and the ease of declaring inline methods. A major difficulty was that we worked in such isolation from the rest of the world. We gave up third-party development tools such as profilers and debuggers, and we gave up existing libraries, including code previously developed internally. Compared to the thousands of programmers with many years of C++ experience, there are relatively few programmers with Lisp experience, and no programmers (outside of Naughty Dog) with GOAL experience, making hiring more difficult.	(absent/inadequate tools: game devs used a very specific language that was hard to maintain and had few adepts)	none	none
